Shape_Area,Shape_Leng,Surface_PU,unique_id,origine,cluster_PC,cluster_DI,DI_reg,DI_6cat,sp_richnes,sum_max_ei,access,chantiers,ParcourRef,enjeux_Z,enjeu_2026,enjeux,prio_all,prio_txt
40000.00000000000,800.00000000000,4.00000000000,"758",DI regional 2025,"-99","-99","1",peu envahi (2),"0","-99",6198.05322266000,Pas de chantiers connus dans les 5 dernières années,Restauration peu envahi,47.72609675410,"1",Enjeu de conservation intermédiaire à l'échelle du massif,58.00000000000,Priorités intermédiaires - Score compris entre 50 et 69
10040.04272240000,397.75586195000,1.00400427224,"759",DI terrain 2024,"-99","1","-99",intact,"2","2",1409.99987546000,Buffer de 500m autour d'un chantier historique,Surveillance,77.92848681440,"2",Fort enjeu de conservation à l'échelle du massif,79.00000000000,Très fortes priorités - Top 25% (score compris entre 84 et 79)
40000.00000000000,800.00000000000,4.00000000000,"760",DI regional 2025,"-99","-99","2",moyennement envahi (4),"0","-99",6214.72705078000,Pas de chantiers connus dans les 5 dernières années,Restauration moy envahi,13.01606808720,"0",Faible enjeu de conservation à l'échelle du massif,35.00000000000,Faibles Priorités - Score inférieur à 50
24368.81202890000,637.72394619900,2.43688120289,"761",DI terrain 2024,"-99","1","-99",intact,"1","1",59.83213569100,Pas de chantiers connus dans les 5 dernières années,Surveillance,88.40645429740,"2",Fort enjeu de conservation à l'échelle du massif,84.00000000000,Très fortes priorités - Top 25% (score compris entre 84 et 79)
23178.99999990000,631.79838122600,2.31789999999,"762",DI regional 2025,"-99","-99","1",peu envahi (2),"0","-99",2055.24853516000,Pas de chantiers connus dans les 5 dernières années,Restauration peu envahi,2.46265904567,"0",Faible enjeu de conservation à l'échelle du massif,42.00000000000,Faibles Priorités - Score inférieur à 50
6444.52893339000,747.57642835700,0.64445289334,"763",DI terrain 2024,"-99","2","-99",peu envahi (2),"0","0",56.67641380140,Buffer de 200m autour d'un chantier historique,Restauration peu envahi,91.95626150910,"2",Fort enjeu de conservation à l'échelle du massif,96.00000000000,Très fortes priorités - Top 10% (score sup ou égal à 85)
9708.07480081000,394.13547995500,0.97080748008,"764",DI terrain 2024,"-99","1","-99",peu envahi (1),"0","0",162.17214445000,Chantiers dans les 5 dernières années,Restauration peu envahi,47.92819471750,"2",Fort enjeu de conservation à l'échelle du massif,77.00000000000,Fortes priorités - Top 50% (score compris entre 78 et 70)
10046.12316570000,397.58959339000,1.00461231657,"765",DI terrain 2024,"-99","2","-99",intact,"0","0",1313.31004027000,Pas de chantiers connus dans les 5 dernières années,Surveillance,60.43834804030,"1",Enjeu de conservation intermédiaire à l'échelle du massif,81.00000000000,Très fortes priorités - Top 25% (score compris entre 84 et 79)
9850.81713765000,396.47162669100,0.98508171377,"766",DI terrain 2024,"-99","1","-99",intact,"1","1",151.16499328600,Buffer de 200m autour d'un chantier historique,Surveillance,59.23065690990,"2",Fort enjeu de conservation à l'échelle du massif,86.00000000000,Très fortes priorités - Top 10% (score sup ou égal à 85)
40000.00000000000,800.00000000000,4.00000000000,"767",DI regional 2025,"-99","-99","1",peu envahi (2),"0","-99",6117.35498047000,Pas de chantiers connus dans les 5 dernières années,Restauration peu envahi,73.99081137660,"2",Fort enjeu de conservation à l'échelle du massif,63.00000000000,Priorités intermédiaires - Score compris entre 50 et 69
9661.31507496000,389.71574348200,0.96613150750,"768",DI terrain 2024,"-99","1","-99",peu envahi (1),"1","1",156.02860009600,Chantiers dans les 5 dernières années,Restauration peu envahi,48.47411360340,"2",Fort enjeu de conservation à l'échelle du massif,82.00000000000,Très fortes priorités - Top 25% (score compris entre 84 et 79)
10187.57335380000,400.52249889700,1.01875733538,"769",DI terrain 2024,"-99","1","-99",intact,"0","0",172.48324886000,Buffer de 200m autour d'un chantier historique,Surveillance,37.08065584390,"1",Enjeu de conservation intermédiaire à l'échelle du massif,79.00000000000,Très fortes priorités - Top 25% (score compris entre 84 et 79)
18272.62275810000,563.55852383500,1.82726227581,"770",DI terrain 2024,"-99","1","-99",peu envahi (1),"0","0",183.26244855400,Pas de chantiers connus dans les 5 dernières années,Restauration peu envahi,69.99113792500,"2",Fort enjeu de conservation à l'échelle du massif,81.00000000000,Très fortes priorités - Top 25% (score compris entre 84 et 79)
